commande_id,client_id,produit_id,date_commande,quantite,remise_pct,canal_vente,mode_paiement,statut_commande,note_client,commentaire_client,created_at,updated_at,devise,prix_unitaire_commande
CMD00385,C0108,P052,2026-01-23,1,5.0,Application,carte cadeau,Livrée,1.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,75.98
CMD00293,C0001,P031,2025-11-16,6,5.0,Site web,PayPal,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,0.0
CMD00454,C0085,P042,2025-08-30,1,0.0,Marketplace,Carte bancaire,Livrée,2.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,43.79
CMD00989,C0105,P015,2026-03-05,1,10.0,Marketplace,Carte bancaire,Livrée,4.0,Retard livraison,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,94.24
CMD00438,C0124,P056,2026-03-31,1,15.0,Marketplace,Carte bancaire,Livrée,5.0,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,61.23
CMD00624,C0065,P888,2025-03-06,10,15.0,Application,Carte bancaire,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,103.35
CMD00911,C0049,P003,2025-01-11,10,0.0,Application,PayPal,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,56.75
CMD00520,C0070,P073,2025-09-10,35,0.0,Boutique,Virement,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,51.83
CMD00023,C0095,P071,2026-02-12,1,0.0,Site web,PayPal,Retournée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,55.6
CMD00172,C0147,P019,2025-05-10,5,10.0,Application,Carte bancaire,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,132.22
CMD00421,C0045,P028,2025-06-30,1,0.0,Marketplace,Carte cadeau,En cours,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,215.87
CMD00674,C0097,P065,2026-02-04,1,10.0,Marketplace,Carte bancaire,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,87.39
CMD00775,C0110,P048,2025-08-19,1,10.0,Site web,Carte bancaire,En cours,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,77.02
CMD00132,C0038,P009,2025-09-23,1,5.0,Marketplace,PayPal,Livrée,3.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,44.57
CMD00125,C0131,P014,2025-03-24,1,20.0,Site web,Carte bancaire,Livrée,3.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,61.89
CMD00151,C0049,P044,2026-01-13,3,0.0,Site web,Carte bancaire,Retournée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,110.93
CMD00387,C0066,P071,2025-03-20,5,0.0,Marketplace,Carte bancaire,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,52.62
CMD00812,C0060,P003,2025-05-22,1,25.0,Site web,Carte bancaire,En cours,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,53.07
CMD00139,C0026,P008,2025-10-08,2,0.0,Boutique,PayPal,Livrée,4.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,32.09
CMD00871,C0056,P048,2025-03-26,4,20.0,Marketplace,PayPal,Livrée,,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,70.98
CMD01028,C0155,P023,2025-09-30,1,0.0,Marketplace,Carte bancaire,En cours,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,29.82
CMD00216,C0068,P041,2025-03-13,3,,Marketplace,Carte bancaire,Livrée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,4080.19
CMD01025,C0008,P074,2025-09-15,1,0.0,Site web,Carte bancaire,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,41.46
CMD00004,C0150,P055,2025-08-15,3,15.0,Marketplace,Carte bancaire,Annulée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,54.88
CMD00439,C0113,P012,2026-01-20,2,10.0,Application,Carte cadeau,Livrée,4.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,84.56
CMD00628,C0127,P012,2025-05-29,2,0.0,Site web,Carte bancaire,Livrée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,85.27
CMD00573,C0118,P031,2025-09-17,1,5.0,Marketplace,Carte bancaire,Livrée,,Produit abîmé,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,0.0
CMD00051,C0080,P069,2025-12-16,1,0.0,Marketplace,Carte bancaire,Livrée,5.0,Retard livraison,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,38.16
CMD00436,C0151,P026,2026-03-15,1,15.0,Site web,Carte bancaire,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,128.1
CMD00153,C0054,P073,2025-09-02,3,,Marketplace,Carte cadeau,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,52.23
CMD00819,C0007,P014,2025-03-11,1,5.0,Application,Carte bancaire,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,53.68
CMD00231,C0140,P022,2025-12-23,2,0.0,Site web,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,9.38
