event_id,event_name,theme_tags,month,capacity,event_date
7001,Heure du conte,Jeunesse,Mars,25,2025-05-14
7002,Heure du conte,Polar;Numérique,Février,15,2025-05-27
7003,Conférence sciences,BD;Jeunesse,Mai,40,2025-04-24
7004,Exposition locale,Poésie,Mai,30,2025-06-18
7005,Atelier numérique,Numérique;Féminisme,Juin,10,2025-02-20
7006,Prix des lecteurs,Jeunesse,Mars,15,2025-01-06
7007,Escape game littéraire,Fantasy,Mai,10,2025-02-10
7008,Rencontre auteur,Féminisme,Janvier,30,2025-05-20
7009,Prix des lecteurs,Polar,Avril,12,2025-04-09
7010,Exposition locale,Jeunesse,Mai,10,2025-01-18
7011,Rencontre auteur,Fantasy;Écologie,Janvier,15,2025-04-28
7012,Club polar,Écologie,Mai,20,2025-03-15
7013,Lecture jeunesse,Polar,Janvier,20,2025-02-02
7014,Club SF,Jeunesse,Mai,25,2025-06-24
7015,Atelier écriture,Jeunesse;Sciences,Mai,10,2025-02-26
7016,Atelier numérique,Jeunesse,Février,15,2025-03-29
7017,Café BD,Science-fiction;Santé,Avril,12,2025-04-12
7018,Initiation Python,Numérique,MAI,40,2025-04-05
7019,Atelier écriture,Science-fiction,Juin,20,2025-01-09
7020,Repair café,Sciences,Mars,20,2025-05-31
7021,Ciné-débat,Manga,Avril,10,2025-04-18
7022,Exposition locale,Roman,Février,20,2025-04-07
7023,Conférence sciences,Science-fiction,Janvier,20,2025-06-04
7024,Ciné-débat,Manga,Avril,30,2025-04-01
7025,Atelier CV,Polar;Fantasy,Janvier,30,2025-02-03
7026,Lecture jeunesse,Numérique,Mars,30,2025-06-19
7027,Atelier numérique,Poésie;Science-fiction,Février,12,2025-02-18
7028,Rencontre auteur,Histoire;Poésie,Juin,12,2025-06-14
7029,Repair café,Sciences,Mai,20,2025-05-29
7030,Prix des lecteurs,Écologie,Mai,40,2025-06-14
7031,Club polar,BD;Science-fiction,Avril,30,2025-03-23
7032,Atelier CV,Santé;Roman,Mars,10,2025-03-25
7033,Lecture jeunesse,Sciences,Janvier,40,2025-03-19
7034,Exposition locale,Science-fiction,Janvier,25,2025-05-14
7035,Atelier écriture,Manga,Mai,20,2025-05-31
7036,Atelier CV,Écologie;Histoire,AVRIL,12,2025-01-20
7037,Rencontre auteur,Sciences;BD,Juin,25,2025-06-19
7038,Club polar,Fantasy;Santé,Avril,25,2025-05-18
7039,Escape game littéraire,Histoire;BD,Mars,20,2025-04-01
7040,Prix des lecteurs,Écologie,Juin,10,2025-03-30
7041,Ciné-débat,Science-fiction,Avril,15,2025-06-22
7042,Rencontre auteur,Histoire,Mars,25,2025-06-23
7043,Escape game littéraire,Fantasy,Mars,12,2025-06-06
7044,Initiation Python,Féminisme,Mars,20,2025-06-18
7045,Atelier CV,Santé;Fantasy,Juin,10,2025-06-19
7046,Club lecture,Écologie,Mars,15,2025-03-25
7047,Club SF,Fantasy,Mars,12,2025-03-03
7048,Atelier CV,Fantasy;BD,Janvier,40,2025-05-23
7049,Atelier écriture,Poésie,Mai,30,2025-04-01
7050,Escape game littéraire,Santé,Mai,12,2025-02-15
7051,Café BD,Fantasy,Mai,30,2025-04-27
7052,Conférence sciences,Roman,Juin,20,2025-06-10
7053,Conférence sciences,Jeunesse,Avril,25,2025-03-07
7054,Découverte manga,Jeunesse,AVRIL,15,2025-05-31
7055,Escape game littéraire,Sciences,Mars,25,2025-05-20
7056,Exposition locale,Manga,Février,12,2025-03-10
7057,Initiation Python,Roman,Mars,10,2025-05-17
7058,Atelier numérique,Poésie;Science-fiction,Février,20,2025-05-16
7059,Conférence sciences,Fantasy,Janvier,40,2025-04-30
7060,Atelier écriture,BD,Avril,20,2025-05-13
7011,Rencontre auteur,Fantasy;Écologie,Janvier,15,2025-04-28
7062,Prix des lecteurs,Science-fiction,Juin,40,2025-02-11
7063,Nuit de la lecture,Fantasy;Numérique,Juin,40,2025-05-05
7064,Club lecture,Sciences,Janvier,15,2025-03-01
7065,Atelier CV,Poésie;Féminisme,Mai,20,2025-02-02
7066,Atelier écriture,Santé;Jeunesse,Janvier,12,2025-04-22
7067,Rencontre auteur,Écologie,Avril,10,2025-05-12
7068,Atelier CV,Histoire,Juin,25,2025-03-07
7069,Exposition locale,Féminisme;Manga,Janvier,15,2025-03-07
7070,Rencontre auteur,Histoire,Juin,25,2025-04-07
7071,Atelier CV,Science-fiction,Mai,40,2025-05-14
7072,Escape game littéraire,Numérique;Sciences,JANVIER,15,2025-03-10
7073,Lecture jeunesse,Féminisme;Poésie,Janvier,12,2025-06-22
7074,Prix des lecteurs,Écologie;Histoire,Juin,12,2025-01-16
7075,Café BD,BD,Juin,40,2025-05-03
7076,Nuit de la lecture,Féminisme,Février,10,2025-05-02
7077,Atelier écriture,Roman;Science-fiction,Février,15,2025-03-25
7078,Club SF,Numérique,Mai,15,2025-01-14
7079,Lecture jeunesse,Santé,Mars,40,2025-01-17
7080,Heure du conte,Poésie,Mars,40,2025-04-09
7081,Club polar,Manga,Juin,20,2025-04-01
7082,Lecture jeunesse,Fantasy,Avril,40,2025-05-17
7083,Atelier poésie,Jeunesse,Juin,10,2025-04-25
7084,Initiation Python,Histoire,Février,15,2025-03-28
7085,Ciné-débat,Science-fiction;Féminisme,Mars,20,2025-06-08
7086,Club polar,Féminisme,Juin,15,2025-04-29
7087,Exposition locale,Roman,Mars,20,2025-03-16
7088,Rencontre auteur,Écologie,Janvier,30,2025-06-17
7089,Café BD,Manga,Juin,10,2025-02-10
7090,Atelier écriture,Poésie,AVRIL,12,2025-01-22
7091,Lecture jeunesse,Polar,Mars,20,2025-05-30
